date,      time,           trace
13.09.2018,21:25:54.305322,bot waked up
13.09.2018,21:33:37.810200,bot was interrupted by error:Unable to send due to closed RTM websocket in main
13.09.2018,21:33:37.811180,bot restart attempt
13.09.2018,21:33:39.643212,bot waked up
13.09.2018,23:34:26.894195,bot waked up
13.09.2018,23:34:59.511379,bot returned response
14.09.2018,00:16:15.281888,bot waked up
14.09.2018,00:16:29.362936,bot was interrupted by error:can only concatenate str (not "float") to str in main
14.09.2018,00:16:29.362936,bot restart attempt
14.09.2018,00:16:31.062157,bot waked up
14.09.2018,00:17:16.309225,bot waked up
14.09.2018,00:17:30.465476,bot was interrupted by error:'type' object is not subscriptable in main
14.09.2018,00:17:30.466447,bot restart attempt
14.09.2018,00:17:32.193992,bot waked up
14.09.2018,00:18:33.561179,bot waked up
14.09.2018,00:18:47.632508,bot was interrupted by error:can only concatenate str (not "float") to str in main
14.09.2018,00:18:47.632508,bot restart attempt
14.09.2018,00:18:49.346333,bot waked up
14.09.2018,00:19:20.125633,bot waked up
14.09.2018,00:21:24.813133,bot waked up
14.09.2018,00:22:22.860983,bot waked up
14.09.2018,00:22:44.024071,bot returned response
14.09.2018,00:25:22.084622,bot waked up
14.09.2018,00:29:12.116843,bot returned response
14.09.2018,00:30:21.738913,bot waked up
14.09.2018,00:30:44.586614,bot returned response
14.09.2018,00:30:56.017236,bot waked up
14.09.2018,00:31:15.374660,bot returned response
14.09.2018,00:33:23.976224,bot waked up
14.09.2018,00:33:36.116846,bot was interrupted by error:'float' object is not subscriptable in main
14.09.2018,00:33:36.116846,bot restart attempt
14.09.2018,00:33:37.820945,bot waked up
14.09.2018,00:35:59.447905,bot waked up
14.09.2018,00:36:04.530905,bot waked up
14.09.2018,00:36:24.666650,bot returned response
14.09.2018,00:39:24.529926,bot returned response
14.09.2018,14:27:41.805326,bot was interrupted by error:[WinError 10054] Удаленный хост принудительно разорвал существующее подключение in main
14.09.2018,14:27:41.806297,bot restart attempt
14.09.2018,14:27:43.684225,bot waked up
